User,Person,Current Age,Retirement Age,Birth Year,Birth Month,Gender,Address,Apartment,City,State,Zipcode,Latitude,Longitude,Per Capita Income - Zipcode,Yearly Income - Person,Total Debt,FICO Score,Num Credit Cards
0,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,29278.00,59696.00,127613.00,787,5
1,Sasha Sadr,53,68,1966,12,Female,3606 Federal Boulevard,,Little Neck,NY,11363,40.76,-73.74,37891.00,77254.00,191349.00,701,5
2,Saanvi Lee,81,67,1938,11,Female,766 Third Drive,,West Covina,CA,91792,34.02,-117.89,22681.00,33483.00,196.00,698,5
3,Everlee Clark,63,63,1957,1,Female,3 Madison Street,,New York,NY,10069,40.71,-73.99,163145.00,249925.00,202328.00,722,4
4,Kyle Peterson,43,70,1976,9,Male,9620 Valley Stream Drive,,San Francisco,CA,94117,37.76,-122.44,53797.00,109687.00,183855.00,675,1
5,Aldo Walker,42,70,1977,10,Male,58 Birch Lane,6,Davenport,IA,52803,41.55,-90.6,20599.00,41997.00,0.00,704,3
6,Katalina Lewis,36,67,1983,12,Female,5695 Fifth Street,1,Louisville,KY,40299,38.22,-85.74,25258.00,51500.00,102286.00,672,3
7,Ryland Howard,26,67,1993,12,Male,1941 Ninth Street,10,Portland,OR,97214,45.51,-122.64,26790.00,54623.00,114711.00,728,1
8,Kenya Cooper,81,66,1938,7,Female,11 Spruce Avenue,,Telford,PA,18969,40.32,-75.32,26273.00,42509.00,2895.00,755,5
9,Sawyer Butler,34,60,1986,1,Female,887 Grant Street,,Abbeville,LA,70510,29.97,-92.12,18730.00,38190.00,81262.00,810,1
10,Antonio Ryan,27,66,1992,6,Male,888 Fifth Lane,10,Fair Oaks,CA,95628,38.65,-121.25,27548.00,56164.00,15224.00,761,2
11,Elliot Edwards,29,63,1990,9,Female,8677 Littlewood Lane,,Greeley,CO,80634,40.42,-104.74,22427.00,45727.00,94016.00,629,1
12,Romina Garcia,18,67,2002,1,Female,829 Fourth Boulevard,,Cranston,RI,2921,41.76,-71.48,33914.00,69149.00,89214.00,776,1
13,Keanu Chen,34,62,1985,10,Male,74786 Jefferson Drive,,Traverse City,MI,49686,44.75,-85.6,20325.00,41442.00,78833.00,712,3
14,Poppy Flores,48,62,1971,5,Female,781 East Street,,San Antonio,TX,78207,29.45,-98.5,10059.00,20513.00,32509.00,599,1
15,Riya Cruz,41,68,1978,4,Female,40 Washington Drive,,Boise City,OK,73933,36.73,-102.51,11342.00,23123.00,5079.00,723,6
16,Saul Walker,54,71,1966,1,Male,3994 Hillside Drive,,Henderson,TX,75652,32.15,-94.79,17898.00,36497.00,38333.00,719,6
17,Anahi Rogers,76,71,1943,8,Female,172 Birch Street,9,Flagstaff,AZ,86004,35.29,-111.32,21950.00,27484.00,16803.00,660,4
18,Cayden Rivera,22,68,1997,11,Male,8145 Spruce Boulevard,635,Charlotte,NC,28269,35.19,-80.83,26481.00,53995.00,89056.00,683,3
19,Cristiano Jenkins,66,68,1953,10,Male,153 Tenth Lane,,Tucson,AZ,85711,32.21,-110.88,17460.00,35602.00,55369.00,661,5
20,Blaine Murphy,28,57,1991,8,Male,2473 Lake Avenue,6,Helena,GA,31037,32.07,-82.91,12321.00,25122.00,43205.00,819,3
21,Grayson Diaz,18,65,2002,1,Male,970 Essex Drive,39,Portola Valley,CA,94028,37.37,-122.21,106305.00,216740.00,0.00,700,2
22,Yadiel Miller,76,66,1943,6,Male,9186 Washington Avenue,,Cleveland,OH,44134,41.47,-81.67,19524.00,41109.00,21486.00,698,2
23,Roland King,70,64,1949,4,Male,5073 Wessex Avenue,,Tyronza,AR,72386,35.49,-90.35,14172.00,26858.00,11245.00,712,2
24,Cole Xi,45,65,1975,1,Male,195 Eighth Boulevard,,Central Point,OR,97502,42.39,-122.93,17131.00,34929.00,63849.00,714,1
25,Jade Green,36,63,1983,8,Female,801 Mill Boulevard,,Mesa,AZ,85201,33.44,-111.85,16829.00,34317.00,61826.00,610,3
26,Amaya Stewart,40,66,1979,4,Female,6914 Wessex Avenue,7043,Houston,TX,77061,29.76,-95.38,15389.00,31377.00,59615.00,722,2
27,Grant Gray,37,58,1982,9,Male,776 Norfolk Boulevard,,Van Nuys,CA,91411,34.17,-118.46,21402.00,43638.00,104052.00,627,1
28,Oliver Reed,41,67,1978,11,Male,2015 Bayview Avenue,8,Cookeville,TN,38501,36.15,-85.5,15955.00,32531.00,38260.00,766,2
29,Aminah Collins,37,72,1983,2,Female,108 Washington Street,65,Whites Creek,TN,37189,36.28,-86.83,20657.00,42120.00,72801.00,739,4
30,Ulises Neufelder,18,64,2001,5,Male,660 Seventh Drive,6,Columbus,OH,43230,39.98,-82.98,28092.00,57281.00,89114.00,850,1
31,Tristan Hughes,49,66,1970,9,Male,7505 Tenth Boulevard,,Miami,FL,33175,25.77,-80.2,18828.00,38390.00,87923.00,783,4
32,Madalynn Gutierrez,33,69,1986,9,Female,4930 Birch Drive,,Southport,NC,28461,33.92,-78.02,17498.00,35670.00,58182.00,751,2
33,Rosa Faraday,21,66,1998,9,Female,93 Plum Lane,,Old Saybrook,CT,6475,41.29,-72.36,30281.00,61746.00,154817.00,637,2
34,Brynn Allen,47,65,1972,11,Female,837 Lincoln Avenue,,Mobile,AL,36693,30.68,-88.04,21331.00,43496.00,114563.00,765,3
35,Aden Adams,41,55,1978,8,Male,7467 Spruce Drive,,Sacramento,CA,95829,38.48,-121.34,25431.00,51854.00,72162.00,737,2
36,Haylee Baker,51,68,1968,4,Female,6323 Sussex Boulevard,,Chula Vista,CA,91911,32.61,-117.03,16942.00,34540.00,22641.00,793,5
37,Nehemiah Turner,46,62,1973,11,Male,8738 Fourth Street,,Hanover Park,IL,60133,41.97,-88.14,20248.00,41287.00,88151.00,662,1
38,Simon Adams,46,70,1973,10,Male,9344 Mill Drive,,Seaside,CA,93955,36.62,-121.82,18663.00,38054.00,63293.00,666,1
39,Sunny King,59,62,1961,2,Female,299 11th Street,,Northborough,MA,1532,42.31,-71.64,39418.00,80371.00,108499.00,822,1
40,Harper Jackson,91,68,1929,2,Female,5492 Maple Drive,2,Overland Park,KS,66221,38.9,-94.68,51642.00,84694.00,2149.00,741,7
41,Thomas Burns,79,72,1941,2,Male,829 Birch Boulevard,81,Corpus Christi,TX,78410,27.8,-97.39,23608.00,37503.00,14272.00,706,5
42,Titan Flores,57,75,1962,12,Male,41011 Seventh Boulevard,,Chandler,AZ,85226,33.27,-111.94,32056.00,65357.00,21844.00,685,4
43,Leslie Myers,26,52,1994,1,Female,613 Little Creek Lane,848,Immokalee,FL,34142,26.41,-81.42,10819.00,22066.00,38967.00,842,1
44,Joaquin Parker,42,66,1977,11,Male,1942 Rose Avenue,,Port Orange,FL,32128,29.1,-81,21916.00,44681.00,42011.00,770,3
45,Butch Brooks,26,69,1994,2,Male,5101 Birch Lane,,Maryland Heights,MO,63043,38.72,-90.47,25163.00,51306.00,68198.00,675,1
46,Kiera Allen,18,59,2002,2,Female,7 11th Drive,,San Antonio,TX,78210,29.45,-98.5,12677.00,25847.00,46379.00,568,1
47,Lylah Peres,60,64,1959,11,Female,2468 Spruce Drive,78,Longwood,FL,32750,28.7,-81.34,22896.00,46683.00,93126.00,788,5
48,Ty Jackson,61,66,1958,11,Male,8001 Essex Boulevard,,Milwaukee,WI,53210,43.06,-87.96,15487.00,31579.00,52419.00,771,3
49,Bodhi Nguyen,47,65,1972,10,Male,708 George Street,,Camilla,GA,31730,31.22,-84.21,13759.00,28055.00,12475.00,829,3
